lang	sentiment	text	num_tokens
fin	-1	Ruotsin kielestä välillisesti tai suoraan aiheutuvia kustannuksia ovat ainakin nämä: - kokonaisten ikäluokkien tarpeettoman laaja pakollisen ruotsin opetus peruskoulusta yliopistoon - henkilötasolla turhaan aineeseen hukattu aika - väärin suunnattu opettajien koulutus - päällekkäinen tai rinnakkainen ruotsinkielinen hallinto - asiapapereiden ja julkaisujen käännöstyö ja painatus - kaksikieliset tie- ja katumerkit - Ahvenanmaa - Ylen ruotsinkielinen tv- ja radiotuotanto	58
fin	-1	LAPSET JÄTETÄÄN KOTIA KUN ITTE LÄHETÄÄN RYYPISKELEMÄÄN.	8
fin	-1	Vähä ku mua ällöttää tuo läskin sisään uponnut kihlasormus.	10
fin	-1	Kepulainen Hirvonen siirrettiin toisiin hommiin, ettei vain kajoasi kokkareiden puuhiin!	12
fin	-1	Mitähän pahaa tässä on, kun piti poistaa?!?	11
fin	-1	Täällä pelataan ihan oudosti...	5
fin	-1	Vähän nolotti kun piti risteyksestä lähteä ja kierrokset vaan nousi eikä mitään tapahtunu.	14
fin	-1	4) jos hän on vapaaehtoisesti asettunut maahan, josta hän lähti __TAI JONKA ULKOPUOLELLE HÄN JÄI VAINON PELOSTA__; tai	21
fin	-1	Olen antanut hänelle kymmeniä tilaisuuksia tehdä toisin, muttei mitään pysyvää muutosta ole tapahtunut :(	16
fin	-1	Jos hävettää, niin niin pitääkin hävettää, kyllä lekurit tällaisen ymmärtää.	13
fin	-1	Vihamiehet vois tappaa	3
fin	-1	Jos en kelpaa nii antaa olla, ehkä minusta tulee suraavan Joulunkinkku;)) Älä varottele tulee paha mieli vielä...	22
fin	-1	Se fakta että yrität ärsyttää, paljastaa ettet yritä keskustella kunnolla, ja että yrität kostaa sen että olen osunut ja upottanut. :D	25
fin	-1	Niinku perkele jaksa tällasta enää kovin kauaa.	8
fin	-1	Vihreiden tavoite muslimeja maahan	4
fin	-1	Tiedän useita sellasia ja niillä ei ole pokkaa kieltäytyä pas.ka hommista koska ovat vellihousuja ja eivät muuten pärjäisi.	19
fin	-1	Verkkosukka on haarasaumoja myöten kokkarekusetuksessa mukana.	7
fin	-1	Tämä tietenkin johtaa siihen, että hänen vaimonsa teki syntiä huulillaan, ja siitä syystä oli houkka!	18
fin	-1	Pissis (15v.) kirjoittaa: Seurustelen 30v.	10
fin	-1	Herjaatko virkavaltaa?	3
